Sample_ID,Animal,Antibody,Treatment,Compartment,Perimeter,Area,Feret_diameter,N_particles_total,N_particles_within,Density
F2,LPS2,GLUT,LPS,GABA_terminals,1314.671740193748,97068.01500000001,499.3915197517876,3.0,3.0,30.90616409535108
F2,LPS2,GLUT,LPS,GABA_terminals,1444.597123488815,54395.55000000001,613.5515626253429,2.0,2.0,36.76771353539029
F2,LPS2,GLUT,LPS,GABA_terminals,1481.57130893292,154093.5,505.7727750680141,2.0,2.0,12.97913279924202
F2,LPS2,GLUT,LPS,GABA_terminals,1757.324197513351,166410.09,669.9731487156781,6.0,6.0,36.05550600928105
F2,LPS2,GLUT,LPS,GABA_terminals,1989.045862010739,237037.185,794.0049622011187,5.0,5.0,21.09373683289396
F2,LPS2,GLUT,LPS,GABA_terminals,3300.393227162836,326580.2100000001,1108.451284450517,5.0,5.0,15.31017448975245
F2,LPS2,GLUT,LPS,GABA_terminals,1787.805518398285,180899.235,677.8428136374982,3.0,3.0,16.58381805760538
F2,LPS2,GLUT,LPS,GABA_terminals,1174.112680522749,74182.68000000001,460.1695883041382,1.0,1.0,13.48023554824388
F2,LPS2,GLUT,LPS,GABA_terminals,1962.62108270618,143127.27,792.6116388244625,2.0,2.0,13.97357750203717
F2,LPS2,GLUT,LPS,GABA_terminals,2171.491938417266,221110.56,903.916926492695,4.0,4.0,18.09049735118937
F2,LPS2,GLUT,LPS,GABA_terminals,1943.663093546734,237271.32,639.5192256687832,7.0,7.0,29.50209068672944
F2,LPS2,GLUT,LPS,GABA_terminals,1749.69120627029,173314.35,693.298507138159,3.0,3.0,17.30958804045943
F2,LPS2,GLUT,LPS,GABA_terminals,2198.658019476547,259040.4300000001,973.9920790232331,8.0,8.0,30.88321000702476
F2,LPS2,GLUT,LPS,GABA_terminals,1829.92694497515,220299.255,700.1757065194422,1.0,1.0,4.539279989848353
F2,LPS2,GLUT,LPS,GABA_terminals,,,,,,22.29315658833778
F2,LPS2,GLUT,LPS,Spine,725.8373762173173,35523.18000000001,262.0332994105902,1.0,1.0,28.15063291067972
F2,LPS2,GLUT,LPS,Spine,988.8398188960786,65966.175,363.0000000000001,2.0,2.0,30.31856856942213
F2,LPS2,GLUT,LPS,Spine,1164.374502676646,69668.77500000001,454.1308401771454,0.0,0.0,0.0
F2,LPS2,GLUT,LPS,Spine,1076.689105894653,60085.57500000001,389.3580485876721,0.0,0.0,0.0
F2,LPS2,GLUT,LPS,Spine,3671.876301803069,468259.11,1245.084358587803,6.0,6.0,12.81341862201036
F2,LPS2,GLUT,LPS,Spine,920.2842294992435,63221.89500000001,323.2315888028273,1.0,1.0,15.81730506496207
F2,LPS2,GLUT,LPS,Spine,938.5049595564764,54172.30500000001,345.8708574020078,2.0,2.0,36.9192339148205
F2,LPS2,GLUT,LPS,Spine,1407.508996506223,108464.4,571.6720213549025,1.0,1.0,9.219614915124223
F2,LPS2,GLUT,LPS,Spine,1124.121553400207,54215.86500000001,482.1728009749202,1.0,1.0,18.44478548852813
