folder,animal,treatment,antibody,image,profile_id,density,area_um2,n_particles,dist_to_symmetric_nm,dist_to_asymmetric_nm,closer_terminal,distance_diff_nm,n_symmetric_terminals,n_asymmetric_terminals
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv13.tif,459,0.0,0.08268172000000003,0,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv12.tif,458,19.957868938670465,0.55116105,11,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv46.tif,486,40.40808121216163,0.3464653499999999,14,25.510442194211503,,symmetric,,1,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv30.tif,473,22.863692760745156,0.1312124000000001,3,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv78.tif,493,22.349221674386925,0.17897715,4,541.4077970122106,,symmetric,,1,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv73.tif,489,34.62048128285224,0.14442318,5,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv4.tif,482,18.269557732830098,0.328415175,6,0.0,,symmetric,,1,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv5.tif,487,14.715334250172237,0.13591264499999997,2,,91.11126206716543,asymmetric,,0,2
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv29.tif,471,35.91370941212129,0.4733568400000002,17,0.0,72.44057207641734,symmetric,72.44057207641734,1,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv23.tif,466,12.701563492607335,0.07873046500000004,1,202.39999999999986,,symmetric,,1,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv22.tif,465,9.20239379108969,0.4346695100000002,4,38.235392053429365,,symmetric,,1,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv76.tif,492,9.811139970579333,0.10192495500000001,1,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,gaba iba.tif,474,8.399151605056032,0.5952982200000001,5,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv34.tif,477,14.584793483855972,0.47995194500000005,7,,0.0,asymmetric,,0,3
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv39.tif,481,27.15446955780304,0.11047905000000001,3,,0.0,asymmetric,,0,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv38.tif,480,61.56177292981093,0.048731540000000025,3,564.5743972232535,0.0,asymmetric,-564.5743972232535,1,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv44.tif,485,16.514227956953018,0.18166153500000004,3,370.3503077796978,,symmetric,,2,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv33.tif,476,22.47457423323777,0.3559577999999998,8,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv32.tif,475,9.464443874719974,0.3169758350000001,3,0.0,441.94470560410787,symmetric,441.94470560410787,2,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv10.tif,456,17.813206945746,0.3929668600000002,7,,215.56913044311335,asymmetric,,0,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv11.tif,457,9.809786161744219,0.40775608500000005,4,538.4216284660191,63.1164318678941,asymmetric,-475.305196598125,1,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv82.tif,494,20.937267236474398,0.143285175,3,,420.6561660073462,asymmetric,,0,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv3.tif,472,38.72575235423529,0.2840487100000001,11,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv2.tif,463,26.430972172653128,0.3783440100000001,10,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv9.tif,495,9.674621873277973,0.7235424899999991,7,,0.0,asymmetric,,0,2
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv24.tif,467,25.694361205420115,0.23351427000000005,6,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv25.tif,468,10.943554350451354,0.09137798999999996,1,,58.84365809893878,asymmetric,,0,1
