folder,animal,treatment,antibody,compartment,image,image_normalized,profile_id,centroid_x,centroid_y,area_nm2,area_um2,n_particles,density
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv10.tif,Tv10.tif,601,633.1565864856252,598.3725745722702,31011.695000000003,0.031011695000000002,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv15.tif,Tv15.tif,611,1160.1260739810912,1741.062732556172,65547.51499999997,0.06554751499999997,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv24.tif,Tv24.tif,616,1273.7150694858155,982.5815253782615,57885.79499999999,0.05788579499999999,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv40.tif,Tv40.tif,655,1023.3763793663222,1962.1683727710827,63356.81000000002,0.06335681000000001,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv37.tif,Tv37.tif,653,394.386449704142,67.35478475259414,47032.70000000001,0.04703270000000001,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv36.tif,Tv36.tif,651,250.05698686459735,1825.9197569050834,224152.49999999997,0.22415249999999998,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv24.tif,Tv24.tif,648,2195.751065485776,1091.3328671114184,52598.700000000084,0.05259870000000008,1,19.01187671938657
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv57.tif,Tv57.tif,664,1546.1164178444258,1624.6410324464207,100297.50499999999,0.100297505,3,29.91101324006016
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv21.tif,Tv21.tif,646,906.8226707034468,766.4710829034912,134884.74999999997,0.13488474999999997,1,7.413736541751386
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv63.tif,Tv63.tif,666,811.579802418872,74.63816349339399,101047.10000000002,0.10104710000000001,1,9.89637505678045
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv62.tif,Tv62.tif,665,1589.2497550279966,1043.2632159896018,112946.23999999998,0.11294623999999998,1,8.853769722657436
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv51.tif,Tv51.tif,659,562.2061185658501,624.4499368122117,42607.125000000015,0.042607125000000017,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv47.tif,Tv47.tif,657,492.14729813221794,473.6247227069144,89108.63500000001,0.089108635,1,11.22225696757671
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv46.tif,Tv46.tif,656,1912.578518922192,2145.608026296441,116568.375,0.116568375,1,8.578656089183708
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv54.tif,Tv54.tif,663,1704.6636512315642,1947.4101056085967,75217.835,0.07521783500000001,1,13.294719264387227
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv5.tif,Tv5.tif,658,1442.6140326896077,1580.3120277358344,152254.30000000005,0.15225430000000004,3,19.703877000518208
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv54.tif,Tv54.tif,662,1975.8282352941176,1705.3027052696082,144812.80000000002,0.14481280000000002,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv51.tif,Tv51.tif,660,1343.9226714108665,632.2297224110131,75664.32500000001,0.07566432500000002,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv34.tif,Tv34.tif,650,2159.1642822969166,1843.3541990720653,72500.78,0.07250078,1,13.792955055104235
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv39.tif,Tv39.tif,654,1942.917404548614,1039.1072375908504,53690.72500000002,0.05369072500000002,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv63.tif,Tv63.tif,667,409.16849037731527,516.1878373764275,150610.515,0.150610515,1,6.639642657088053
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv36.tif,Tv36.tif,652,2118.2774621460057,1333.7767596107692,101675.09000000005,0.10167509000000005,1,9.835250699065027
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv63.tif,Tv63.tif,668,1784.4212446022111,307.7886075336394,95784.205,0.095784205,2,20.88026935129858
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv53.tif,Tv53.tif,661,1582.155079836319,512.4231026910674,111674.53,0.11167453,1,8.954593316846733
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv24.tif,Tv24.tif,647,1146.7227994100297,870.7513982300889,75201.50000000001,0.07520150000000002,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,spine,Tv25.tif,Tv25.tif,649,1377.084949691384,1538.1272555890632,64398.01500000004,0.06439801500000004,1,15.528428943034957
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv41.tif,Tv41.tif,689,1168.0152441857617,456.573358363479,1350667.3400000003,1.3506673400000002,19,14.067120331790948
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv37.tif,Tv37.tif,687,1185.1362128918188,1746.9182084060903,1395208.0450000002,1.3952080450000002,27,19.35195263298528
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv53.tif,Tv53.tif,703,278.2298461923612,1819.2614938482159,38666.15500000001,0.038666155000000015,3,77.58723358968584
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv52.tif,Tv52.tif,701,723.1732208915603,1219.3453534497116,79919.28999999998,0.07991928999999998,4,50.05049469283325
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv57.tif,Tv57.tif,706,1191.3504125309764,1128.8438525441015,199133.93500000003,0.19913393500000004,2,10.0434915826878
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv56.tif,Tv56.tif,705,1248.2967186499247,774.6359682440384,54157.17999999999,0.05415717999999999,3,55.39431706008327
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv69.tif,Tv69.tif,713,1109.2077529368867,1376.6192965700006,226772.14999999997,0.22677214999999998,9,39.687413114882055
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv20.tif,Tv20.tif,677,1717.6472562789202,1071.6532323486656,329185.945,0.329185945,11,33.41576445494962
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv21.tif,Tv21.tif,678,1777.5684127955956,1231.0072210383737,353756.81000000035,0.35375681000000037,11,31.094807757905745
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv14.tif,Tv14.tif,672,995.923097742511,996.6052138224219,59012.909999999996,0.059012909999999995,2,33.890889298629745
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv15.tif,Tv15.tif,673,922.7054429503505,1136.156994521655,64383.494999999995,0.064383495,2,31.063861941635817
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv7.tif,Tv7.tif,714,827.0430250234006,990.443121086458,441905.91500000015,0.44190591500000015,7,15.840475907637483
J3 iba gaba GA3 hippo,GA3,Control,GABA,microglia,Tv45.tif,Tv45.tif,693,1340.5067912774975,745.3182929414443,157920.73000000007,0.15792073000000006,4,25.329163561997202
